entity_id,type,debit_paise,credit_paise,amount_paise,fee_paise,tax_paise,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,method,card_network,card_type,international,dispute_id,description
pay_cda01c8655e24f,payment,0,195182,199900,3998,720,false,true,2026-03-07T11:28:02+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_a7361130b1b7,wallet,,,false,,
pay_f1b3b8d14c89ea,payment,0,48722,49900,998,180,false,true,2026-03-07T08:50:01+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_31e1c6b4c0fa,card,VISA,credit,false,,
pay_baa590b8372c6c,payment,0,174032,175900,1583,285,false,true,2026-03-07T18:35:59+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_fc59a2e444f2,card,RUPAY,debit,false,,
pay_29104b49196b59,payment,0,72156,73900,1478,266,false,true,2026-03-07T16:31:12+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_c084949573fd,card,VISA,credit,false,,
pay_500e320ee4cc05,payment,0,79052,79900,719,129,false,true,2026-03-07T16:23:56+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_3e97f5907317,card,VISA,debit,false,,
pay_7feed03c48f166,payment,0,149900,149900,0,0,false,true,2026-03-07T13:09:58+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,,upi,,,false,,
pay_a72b9a2ebcdf1a,payment,0,209900,209900,0,0,false,true,2026-03-07T12:11:18+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_7dfbb8a5eb8f,upi,,,false,,
pay_d117c99cd2d512,payment,0,164035,168000,3360,605,false,true,2026-03-07T17:27:37+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_0c9d76bd1114,card,VISA,credit,false,,
pay_236898f11fa2bb,payment,0,201041,205900,4118,741,false,true,2026-03-07T12:53:48+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_80d356c31562,card,AMEX,credit,false,,
pay_72019d8ecc569d,payment,0,529900,529900,0,0,false,true,2026-03-07T16:31:32+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_6a0b41165389,upi,,,false,,
pay_f2c307651486f8,payment,0,214710,219900,4398,792,false,true,2026-03-08T13:36:14+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_186c4428848d,card,VISA,credit,false,,
pay_6a35288aaf19c2,payment,0,200000,200000,0,0,false,true,2026-03-08T17:06:32+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_51c5fa15a4e8,upi,,,false,,
pay_1974afe151f31b,payment,0,196900,196900,0,0,false,true,2026-03-08T10:35:17+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_fe468f4a2282,upi,,,false,,
pay_7ca54619a7eec4,payment,0,214900,214900,0,0,false,true,2026-03-08T08:13:12+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_f283aea2d217,upi,,,false,,
pay_4659f108ea0a68,payment,0,169900,169900,0,0,false,true,2026-03-08T14:39:49+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_6516b0d4713f,upi,,,false,,
pay_cf570d7b66cbbd,payment,0,340000,340000,0,0,false,true,2026-03-08T06:24:21+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_2606eae4d459,upi,,,false,,
pay_5d81118321a8af,payment,0,760000,760000,0,0,false,true,2026-03-08T20:06:10+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_3c7694bb0e13,upi,,,false,,
pay_3082fa7a99582f,payment,0,682573,689900,6209,1118,false,true,2026-03-08T16:28:30+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_fe55f8c6064a,card,VISA,debit,false,,
pay_f265704afa42c8,payment,0,49900,49900,0,0,false,true,2026-03-08T06:14:32+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_b23780725180,upi,,,false,,
pay_fce882e22cceac,payment,0,38958,39900,798,144,false,true,2026-03-08T18:33:57+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_f9bccdc561bc,card,VISA,credit,false,,
pay_d7c55b0ea8a9a1,payment,0,219900,219900,0,0,false,true,2026-03-08T08:29:24+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_a20b88b4ba23,upi,,,false,,
pay_2ee8d488009330,payment,0,158202,159900,1439,259,false,true,2026-03-08T09:41:19+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_d8402fc7562e,card,VISA,debit,false,,
pay_138ca17e935009,payment,0,229900,229900,0,0,false,true,2026-03-08T16:16:36+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_6b05866822a8,upi,,,false,,
pay_f05bad9f5f3d67,payment,0,536922,549900,10998,1980,false,true,2026-03-08T19:04:09+05:30,2026-03-10T10:00:00+05:30,setl_d62597b893494b,8037500912tbqhgc,ord_38c7727efe48,card,MASTERCARD,credit,false,,
pay_e8558888f9a2aa,payment,0,89900,89900,0,0,true,false,2026-03-08T15:47:34+05:30,,,,ord_d08ff8f25a20,upi,,,false,dsp_721e4d5954b3,
pay_c1ba5f2ac14c37,payment,0,108900,108900,0,0,false,true,2026-03-09T10:09:44+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_bc3be5456a9a,upi,,,false,,
pay_0e97f12f59be99,payment,0,494558,505900,9612,1730,false,true,2026-03-09T20:08:49+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_dd2bef7229c7,netbanking,,,false,,
pay_1b0447e93da345,payment,0,124900,124900,0,0,false,true,2026-03-09T20:00:26+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_888bcb794b03,upi,,,false,,
pay_54e325ceacaf54,payment,0,934865,944900,8504,1531,false,true,2026-03-09T07:19:48+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_12cc3d6cadb4,card,RUPAY,debit,false,,
pay_8414166cbf0ffc,payment,0,199900,199900,0,0,false,true,2026-03-09T16:55:56+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_590063ab0f0f,upi,,,false,,
pay_02dfdb5d83f5b2,payment,0,527158,539900,10798,1944,false,true,2026-03-09T10:16:03+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_19f03981e327,wallet,,,false,,
pay_6351f6a1c4e956,payment,0,475900,475900,0,0,false,true,2026-03-09T14:44:20+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_50ca61ea57a4,upi,,,false,,
pay_3a75acd8ea9aeb,payment,0,179000,179000,0,0,false,true,2026-03-09T07:10:05+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_0947237cfbd9,upi,,,false,,
pay_0c3065b0f12d0e,payment,0,84947,87000,1740,313,false,true,2026-03-09T15:46:33+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_2416e4735a07,card,RUPAY,credit,false,,
pay_0a813ab8b7dc2f,payment,0,51433,53321,1600,288,false,true,2026-03-09T15:29:53+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_3c6e6d24e826,card,RUPAY,debit,true,,
pay_1a0818346504aa,payment,0,136598,139900,2798,504,true,false,2026-03-09T15:50:03+05:30,,,,ord_e9062e57abac,card,AMEX,credit,false,dsp_bf1352f98d64,
pay_e921972dd3dd65,payment,0,199088,203900,4078,734,false,true,2026-03-09T12:14:48+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_da3d392f2ec5,card,RUPAY,credit,false,,
pay_726b3f4cc3c43b,payment,0,175654,179900,3598,648,false,true,2026-03-09T10:35:45+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_79c95fb0923f,card,AMEX,credit,false,,
pay_e9d0eca5e197db,payment,0,224000,224000,0,0,false,true,2026-03-09T18:49:50+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_c1a4eeb16a5d,upi,,,false,,
pay_98bf939bde7fdc,payment,0,130740,133900,2678,482,false,true,2026-03-09T20:31:30+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_766c2171f5f2,card,RUPAY,credit,false,,
pay_9b486ee002f023,payment,0,89900,89900,0,0,false,true,2026-03-09T10:14:32+05:30,2026-03-11T10:00:00+05:30,setl_0d58af936c994c,1051223431xtzdsm,ord_bafadc1138b2,upi,,,false,,
pay_660a154614a78a,payment,0,82896,84900,1698,306,false,true,2026-03-10T16:45:07+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_e7c77f066c71,wallet,,,false,,
pay_ccabd11bf4af54,payment,0,756000,756000,0,0,false,true,2026-03-10T18:44:35+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_6463b3ccfb82,upi,,,false,,
pay_2764f1e5c45cdb,payment,0,134900,134900,0,0,false,true,2026-03-10T11:03:34+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_868aca9126a9,upi,,,false,,
pay_ba732a2d35dfd0,payment,0,229900,229900,0,0,false,true,2026-03-10T18:36:58+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_69b94fc27de2,upi,,,false,,
pay_4cf8a24b89c60d,payment,0,247246,249900,2249,405,false,true,2026-03-10T21:41:32+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_0306ef9fe686,card,VISA,debit,false,,
pay_21b5eaaabd60f8,payment,0,65900,65900,0,0,false,true,2026-03-10T08:10:02+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_63c94f76c290,upi,,,false,,
pay_c96a137f5f8c34,payment,0,1575812,1613900,32278,5810,false,true,2026-03-10T11:47:30+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_71f545abc0e6,wallet,,,false,,
pay_0973c27253524d,payment,0,79900,79900,0,0,false,true,2026-03-10T12:45:38+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_ed623b9afcfd,upi,,,false,,
pay_e2543685f1aa9e,payment,0,2843900,2843900,0,0,false,true,2026-03-10T21:29:12+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_67f4c6cae752,upi,,,false,,
pay_21698121958173,payment,0,719900,719900,0,0,false,true,2026-03-10T23:47:54+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_99a8ef4a463f,upi,,,false,,
pay_1d03b493191c11,payment,0,633104,639900,5759,1037,false,true,2026-03-10T22:27:46+05:30,2026-03-12T10:00:00+05:30,setl_4f78878440f3ef,1097215850nnvwog,ord_1e8beed30c07,card,MASTERCARD,debit,false,,
